step,file_name,column,method,from,to,target_type,dirty_numeric_cleaned,datetime_format,rows_removed,keep,mapping,before_outliers,after_outliers,old_name,new_name,columns,violations_count
File uploaded,hr_dataset_1200_rows_custom (1).csv,,,,,,,,,,,,,,,,
Missing values filled,,Age,Median,,,,,,,,,,,,,,
Missing values filled,,Gender,Mode,,,,,,,,,,,,,,
Missing values filled,,City,Constant,,,,,,,,,,,,,,
Missing values filled,,Department,Mode,,,,,,,,,,,,,,
Rows dropped for missing values,,HireDate,,,,,,,,,,,,,,,
Column type converted,,Salary,,object,float64,numeric,True,,,,,,,,,,
Column type converted,,HireDate,,object,datetime64[ns],datetime,,,,,,,,,,,
Column type converted,,Bonus,,float64,float64,numeric,True,,,,,,,,,,
Column type converted,,PerformanceScore,,float64,float64,numeric,True,,,,,,,,,,
Missing values filled,,Salary,Mean,,,,,,,,,,,,,,
Missing values filled,,Bonus,Mean,,,,,,,,,,,,,,
Missing values filled,,PerformanceScore,Mean,,,,,,,,,,,,,,
Rows dropped for missing values,,Status,,,,,,,,,,,,,,,
Missing values filled,,EducationLevel,Constant,,,,,,,,,,,,,,
Full-row duplicates removed,,,,,,,,,10.0,first,,,,,,,
Categorical trim whitespace,,Department,,,,,,,,,,,,,,,
Categorical trim whitespace,,Department,,,,,,,,,,,,,,,
Categorical mapping applied,,Department,,,,,,,,,"{'sales': 'Sales', 'SALES': 'Sales'}",,,,,,
Categorical mapping applied,,Department,,,,,,,,,"{'sales': 'Sales', 'SALES': 'Sales'}",,,,,,
Outliers capped,,Age,IQR,,,,,,,,,2.0,0.0,,,,
Outliers capped,,Salary,IQR,,,,,,,,,2.0,0.0,,,,
Column renamed,,,,,,,,,,,,,,EmployeeID,Employee ID,,
Column renamed,,,,,,,,,,,,,,Name,Full Name,,
Column renamed,,,,,,,,,,,,,,HireDate,Hired on,,
Column renamed,,,,,,,,,,,,,,EducationLevel,Education Level,,
Non-null validation run,,,,,,,,,,,,,,,,['Employee ID'],0.0
